Domain Name,Query Type,Count Add RR,Delta Time,Packet Number
 
File: AjoutDeFichiers/imgToDrive.pcapng
p29-setup.icloud.com,28,1,0.0,102
p29-setup.icloud.com,1,1,0.0,103
p29-setup.icloud.com,28,1,0.0,105
cvws.icloud-content.com,1,1,0.451,153
cvws.icloud-content.com,28,1,0.0,154
cvws.icloud-content.com,1,1,0.0,155
cvws.icloud-content.com,28,1,0.0,156
cvws.icloud-content.com,28,1,0.048,157
cvws.icloud-content.com,1,1,0.0,158
cvws.icloud-content.com,28,1,0.0,159
cvws.icloud-content.com,1,1,0.0,160
 
File: DeleteDeFichiers/deleteMultipleFiles.pcapng
 
 
File: DeleteDeFichiers/deleteMultipleFiles2.pcapng
 
p72-ckdatabase.icloud.com,1,0,17.204,28
p72-ckdatabase.icloud.com,1,0,0.025,29
 
File: DeleteDeFichiers/Phone_4G_ImageOffDrive.pcapng
 
4.6.a.c.7.7.e.f.f.f.7.b.9.a.8.8.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,12,0,0.995,3
7.7.3.f.5.f.5.9.2.b.e.6.3.c.9.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,12,0,0.0,4
4.6.a.c.7.7.e.f.f.f.7.b.9.a.8.8.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,12,0,0.001,5
7.7.3.f.5.f.5.9.2.b.e.6.3.c.9.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,12,0,0.0,6
53.0.0.127.in-addr.arpa,12,0,0.999,7
53.0.0.127.in-addr.arpa,12,0,0.0,8
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.999,24
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.0,25
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.001,26
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.0,27
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.022,28
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.0,29
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.0,30
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.0,31
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.005,32
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.0,33
1.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.001,34
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.001,35
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,1.971,90
3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.0,91
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.001,92
3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.0,93
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.005,94
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.0,95
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.004,96
4.0.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.001,97
3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,1,0.172,101
3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.0,102
3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.005,103
3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.8.e.0.1.4.a.0.0.4.7.b.1.0.a.2.ip6.arpa,12,0,0.001,104
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,2.812,125
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.001,126
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.007,127
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.0,128
